,speed,dist,rssi_strongest,Throughput tcp
4756,14.143170979483351,46,-89.0,31006900.0
4757,13.086513297528871,24,-76.0,30938400.0
4758,13.709689716415904,25,-104.0,31011600.0
4759,14.330876085348027,28,-82.0,30936400.0
4760,14.317126658991322,41,-99.0,31011600.0
4761,12.629259122137768,16,-79.0,31016400.0
4762,12.724036362542352,33,-92.0,31011600.0
4763,13.784498608582032,1,-85.0,31008900.0
4764,13.984865521284073,49,-106.0,31011600.0
4765,14.531796675996398,3,-103.0,30936400.0
4766,14.198157875569633,4,-96.0,31011600.0
4767,13.871508924900708,1,-96.0,31011600.0
4768,12.0528180389567,2,-90.0,30936400.0
4769,12.695058300315127,6,-97.0,31013600.0
4770,15.718358485541675,42,-72.0,31011600.0
4771,13.069869454191194,19,-106.0,30936400.0
4772,14.50604147800495,3,-87.0,31011600.0
4773,15.176196338345125,43,-110.0,31011600.0
4774,13.566884931958404,22,-99.0,31011600.0
4775,12.406351697755468,40,-80.0,31013600.0
4776,13.629795370863057,0,-92.0,30936400.0
4777,12.958238833363893,25,-107.0,30959900.0
4778,14.973498654836817,43,-108.0,30936400.0
4779,15.785600633453894,0,-93.0,30936400.0
4780,12.396824675621575,10,-83.0,30938400.0
4781,14.769600450861898,16,-80.0,30936400.0
4782,12.35542452579028,39,-104.0,30936400.0
4783,13.693725052607125,12,-99.0,30936400.0
4784,12.339760012982424,7,-87.0,30938400.0
4785,15.808912356528516,45,-69.0,30936400.0
4786,15.879636948104325,8,-67.0,30936400.0
4787,15.382191376682973,39,-100.0,30936400.0
4788,15.145380574208097,8,-77.0,30936400.0
4789,15.357771201124857,6,-108.0,30938400.0
4790,15.315500420998328,21,-71.0,30936400.0
4791,14.453763313753273,18,-100.0,30936400.0
4792,14.426037436805021,6,-99.0,30936400.0
4793,13.211785458449588,43,-67.0,30938400.0
4794,15.022624479151439,22,-98.0,30936400.0
4795,13.012809535607598,49,-94.0,30936400.0
4796,13.684719222563539,32,-99.0,30936400.0
4797,15.769704063602463,43,-69.0,30936400.0
4798,13.131910132958572,48,-103.0,30938400.0
4799,15.460057387477578,42,-82.0,31006900.0
4800,13.167002137920385,18,-93.0,31011600.0
4801,12.632609234378304,17,-72.0,31011600.0
4802,13.132207471742896,45,-96.0,31016400.0
4803,15.002762134223817,45,-76.0,31011600.0
4804,15.193104043940462,44,-103.0,31008900.0
4805,13.300506138113692,31,-86.0,31011600.0
4806,13.403835116581373,39,-110.0,31011600.0
4807,13.745196000017607,3,-79.0,31011600.0
4808,12.038571456950363,43,-81.0,30936400.0
4809,15.889555477800505,42,-91.0,31011600.0
4810,15.426781593436784,34,-102.0,31013600.0
4811,14.5154898803864,48,-96.0,31011600.0
4812,15.443745080853931,36,-68.0,31011600.0
4813,14.96835368958123,15,-66.0,28432.0
4814,15.998491441745376,35,-92.0,2445820.0
4815,15.105920398271005,37,-105.0,4388060.0
4816,13.74909485121115,47,-98.0,1946070.0
4817,15.831292562832639,7,-105.0,1995100.0
4818,14.185477715607606,18,-74.0,1866850.0
4819,14.558439580274392,14,-74.0,2710050.0
4820,12.602051760217462,5,-102.0,2072940.0
4821,15.262136151744945,34,-75.0,1830740.0
4822,14.12396494650139,10,-66.0,1314030.0
4823,12.465189864021326,49,-83.0,246568.0
4824,14.12332332703957,35,-69.0,1314030.0
4825,14.30557038558407,6,-95.0,50768.0
4826,12.910032791162848,7,-85.0,1314030.0
4827,13.497885009793201,1,-105.0,78296.0
4828,13.730256369860689,48,-68.0,1314030.0
4829,12.72839025800592,24,-93.0,939256.0
4830,12.42750652953359,36,-90.0,1314030.0
4831,13.710574048521819,25,-91.0,13928.0
4832,14.084741549478286,16,-89.0,691368.0
4833,12.426994563952299,9,-77.0,865352.0
4834,12.821453502629879,37,-92.0,1314030.0
4835,13.109048684893196,21,-102.0,570088.0
4836,14.596100021430383,6,-70.0,1314030.0
4837,15.216906646966722,11,-101.0,151320.0
4838,13.061399124783684,15,-106.0,1314030.0
4839,15.269216392795014,44,-85.0,692936.0
4840,14.30017127178902,28,-110.0,1314030.0
4841,13.964032088247292,0,-106.0,2355660.0
4842,15.308622933961141,17,-100.0,1314030.0
4843,14.219312311275818,33,-96.0,468768.0
4844,12.89058788457687,24,-86.0,575976.0
4845,15.195342072016674,12,-84.0,988872.0
4846,13.51626213855369,31,-107.0,645640.0
4847,14.96835368958123,23,-94.0,19024.0
4848,15.998491441745376,23,-67.0,2017770.0
4849,15.105920398271005,37,-101.0,43337100.0
4850,13.74909485121115,48,-103.0,14564400.0
4851,15.831292562832639,22,-106.0,27944800.0
4852,14.185477715607606,26,-66.0,14385200.0
4853,14.558439580274392,5,-83.0,13618500.0
4854,12.602051760217462,15,-77.0,5108310.0
